Country name,Year,Happiness Rank,Happiness score,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year"
Afghanistan,2017,145,3.203,7.497754574,0.490880072,52.79999924,0.427010864,-0.112198286,0.954392552,0.49634856,0.371326178,0.261178523,-1.886565924,-1.43780756,0.386038482,0.286598861
Albania,2017,103,4.719,9.376145363,0.637698293,68.40000153,0.74961102,-0.032642815,0.876134634,0.669240892,0.33388412,0.457737535,0.299944997,-0.130315468,0.30325,0.41048798
Algeria,2017,85,5.211,9.540638924,0.806753874,65.69999695,0.436670482,-0.191522107,0.699774206,0.641979635,0.288710028,0.502155337,-0.927691162,-0.816839099,0.276,0.527555764
Argentina,2017,46,6.086,9.848709106,0.906699121,68.59999847,0.831966162,-0.182599917,0.841052473,0.809422612,0.291717261,0.305430293,0.351303786,-0.158055663,0.4609375,0.394175798
Armenia,2017,111,4.559,9.081094742,0.697924912,66.59999847,0.613697052,-0.133957878,0.86468333,0.625013828,0.43714875,0.246900991,-0.633139133,-0.132938728,0.31925,0.478876591
Australia,2017,11,7.228,10.70658112,0.949957848,73.30000305,0.910550177,0.308772951,0.411346525,0.780078888,0.225360975,0.45340696,1.140083551,1.735671997,0.34275,0.428340912
Austria,2017,10,7.246,10.72407532,0.906217813,72.69999695,0.890030563,0.131114438,0.518303812,0.747568727,0.18026872,0.43590793,1.189480543,1.559312701,0.302692308,0.322941631
Azerbaijan,2017,87,5.208,9.670762062,0.787039399,65.19999695,0.731030464,-0.245215878,0.652539015,0.592359245,0.19831866,0.766583443,-1.162632823,-0.461928248,0.211,0.313743263
Bahrain,2017,36,6.199,10.67569351,0.875747144,68.5,0.905858517,0.128193483,0.856647745,0.813570559,0.289759517,0.502155337,-1.167433977,0.226644456,0.386038482,0.446609318
Bangladesh,2017,120,4.456,8.167346954,0.712552786,63.79999924,0.896217167,0.016269062,0.635014474,0.568827093,0.21350576,0.876646459,-0.93284297,-0.761903524,0.32775,0.53275013
Belarus,2017,78,5.323,9.750800133,0.900255799,65.80000305,0.620979249,-0.129172564,0.654113412,0.540905774,0.232768074,0.447916299,-0.66446048,-0.539596856,0.281294118,0.283250213
Belgium,2017,18,6.923,10.66098404,0.921639085,71.80000305,0.856801987,0.051760148,0.543046057,0.786367595,0.233597696,0.449731916,0.904255331,1.316667318,0.284307692,0.354373842
Benin,2017,98,4.883,7.63251543,0.435878992,53.90000153,0.72680825,-0.042811081,0.767234623,0.614722311,0.457920343,0.615089297,0.211715877,-0.571933687,0.432666667,0.5770697
Bolivia,2017,60,5.779,8.837221146,0.778661788,63.29999924,0.883904934,-0.115274936,0.819261968,0.698195398,0.43394354,0.427632958,-0.16441147,-0.788586199,0.5216,0.40588659
Bosnia and Herzegovina,2017,76,5.386,9.368531227,0.775295258,67.5,0.563798666,0.092498638,0.923343062,0.597341657,0.270745516,0.126379713,-0.29460907,-0.339562118,0.3256,0.486203879
Botswana,2017,140,3.488,9.668231964,0.768258631,58.20000076,0.817308009,-0.253493279,0.731441498,0.656396449,0.276252508,0.770821095,0.706385911,0.550655007,0.626,0.637864351
Brazil,2017,31,6.3,9.554174423,0.904694259,66.19999695,0.764792562,-0.184547558,0.794457376,0.715945125,0.307716906,0.16549027,0.023793146,-0.304572016,0.547285714,0.39262256
Bulgaria,2017,93,5.011,9.828942299,0.94175458,66.59999847,0.689047039,-0.156459168,0.910799742,0.614216745,0.188637346,0.326087952,0.375986755,0.171329618,0.354666667,0.343219519
Burkina Faso,2017,110,4.587,7.440206528,0.784761369,53.40000153,0.613774717,-0.054843456,0.727451324,0.585172474,0.353821069,0.540656149,-0.433187962,-0.386786103,0.394666667,0.553144336
Cambodia,2017,105,4.7,8.201130867,0.765094936,61.20000076,0.963774681,0.085995324,0.821022928,0.798616648,0.40828383,0.752442479,-0.493880957,-0.876292229,0.386038482,0.545690596
Cameroon,2017,92,5.044,8.121161461,0.69459641,51.90000153,0.766945004,-0.031570964,0.84358561,0.632338762,0.377498746,0.578775525,-1.06689775,-0.962742329,0.438333333,0.565237224
Canada,2017,9,7.278,10.69234467,0.93374896,73.40000153,0.945145011,0.155016169,0.362034321,0.862773478,0.21798116,0.652735949,1.295283794,1.866527677,0.3368,0.601348937
Central African Republic,2017,146,3.083,6.494116783,0.319589138,45.20000076,0.645252347,0.093754359,0.889566004,0.613865197,0.599335492,0.650284886,-1.523121834,-1.538732529,0.499,0.715371251
Chad,2017,127,4.35,7.477691174,0.660615563,47.70000076,0.614849687,-0.004919504,0.792389929,0.627503157,0.53824544,0.473544389,-1.356479883,-1.349586964,0.4155,0.561519265
Chile,2017,26,6.444,10.03306866,0.879840791,69.80000305,0.790116489,-0.030261263,0.835987508,0.83847481,0.291042089,0.268283308,0.688375235,1.059408069,0.491571429,0.574647009
China,2017,90,5.191,9.636177063,0.772033215,69,0.877617598,-0.191224813,0.874533376,0.821097255,0.214004755,0.502155337,-0.87781024,-0.064554513,0.425,0.633354962
Colombia,2017,42,6.125,9.492126465,0.909249961,67.40000153,0.837554634,-0.162942991,0.87501812,0.836926997,0.299308956,0.221882597,-0.33744511,-0.113991968,0.5416,0.542027473
Congo (Brazzaville),2017,99,4.812,8.493188858,0.655440509,57.29999924,0.777783453,-0.163537174,0.76278311,0.598951638,0.381640553,0.469826549,-0.824424744,-1.239475012,0.481,0.477259427
Congo (Kinshasa),2017,122,4.418,6.694726944,0.669688404,52.90000153,0.704239547,0.085066363,0.809181869,0.550525904,0.404262066,0.4784123,-1.872269154,-1.551753879,0.4215,0.63245213
Costa Rica,2017,12,7.167,9.650206566,0.92169714,71.09999847,0.93561846,-0.073179178,0.742350757,0.874395847,0.275440067,0.407448441,0.815186501,0.404245347,0.490882353,0.469308227
Croatia,2017,73,5.432,10.02878857,0.770309687,69.59999847,0.715822279,-0.105906412,0.89155972,0.655305028,0.316488236,0.211000666,0.628294408,0.380520016,0.321428571,0.338284969
Cyprus,2017,48,6.046,10.3863802,0.818671048,73.5,0.811670661,0.040062714,0.851206422,0.784188449,0.300516605,0.312653422,0.827816248,0.904508114,0.326166667,0.410138428
Czech Republic,2017,20,6.852,10.39224911,0.900968969,69.80000305,0.8317855,-0.178765178,0.866524994,0.738743961,0.226649791,0.343870819,0.99339664,0.985034347,0.264166667,0.282945663
Denmark,2017,2,7.6,10.75112534,0.952100098,72.09999847,0.955416322,0.152028441,0.18114756,0.823667407,0.205775306,0.572353303,1.190443397,1.868862629,0.267,0.630812943
Dominican Republic,2017,75,5.425,9.588835716,0.894368112,65.5,0.855359018,-0.123324633,0.760489643,0.738943636,0.274745524,0.459901333,0.158870548,-0.397110552,0.484705882,0.480913222
Ecuador,2017,49,6.028,9.266903877,0.848941743,68.19999695,0.879128158,-0.170977935,0.733588755,0.829141974,0.314343482,0.640512884,-0.137001991,-0.655896366,0.496,0.41333431
Egypt,2017,131,4.166,9.263900757,0.63822639,61.40000153,0.592504799,-0.159880474,0.863425212,0.539322555,0.414493799,0.502155337,-1.332292676,-0.63917017,0.312,0.38081485
El Salvador,2017,34,6.253,8.8945961,0.82895261,65.80000305,0.757827342,-0.170792967,0.777748585,0.848850608,0.268448353,0.270235062,-0.046964772,-0.470085859,0.457823529,0.402195245
Estonia,2017,54,5.893,10.29150963,0.93568635,68.40000153,0.861749232,-0.104597919,0.668402255,0.805217981,0.160164103,0.405946255,0.93688798,1.320733786,0.332461538,0.396599621
Ethiopia,2017,129,4.286,7.455834389,0.73353976,58,0.717101216,0.007518843,0.75689894,0.608514786,0.304436177,0.768354297,-1.564677238,-0.678986609,0.340333333,0.420267493
Finland,2017,1,7.769,10.61117172,0.963826418,71.80000305,0.962198973,-0.005695975,0.192412779,0.787137091,0.176065788,0.59753859,1.311007023,1.999899864,0.275615385,0.425614446
France,2017,24,6.592,10.56115437,0.931494594,73.59999847,0.83389014,-0.127377018,0.601486027,0.762097776,0.241983935,0.37479353,0.67997849,1.301757574,0.320923077,0.372855246
Gabon,2017,100,4.799,9.714891434,0.806941152,59.20000076,0.652359545,-0.247073993,0.868305504,0.634047151,0.446124285,0.286989242,-0.571620047,-0.803622365,0.422,0.58923018
Gambia,2017,115,4.516,7.353572845,0.697001517,54.70000076,0.812325835,0.126379773,0.571615577,0.838287175,0.27724719,0.796493292,-0.427905083,-0.552332282,0.422666667,0.562509775
Georgia,2017,114,4.519,9.18451786,0.590495169,64.69999695,0.820908785,-0.230505854,0.589631975,0.581127703,0.209639609,0.296396226,-0.054174274,0.674269736,0.380117647,0.454276502
